BMP,Itens,apartamento,situacao,data_cadastro,ultimo_comentario,data_ultima_inspecao,data_atualizacao
2107772,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107776,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107788,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107791,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107797,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107798,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107799,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107800,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107802,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107806,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107809,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107810,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107813,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107815,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107816,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107817,"Forno Microondas, Capacidade 20 Litros, Potência 620 W, Voltagem 220 V, Cor Branca, Marca Midea",,,,,,
2107818,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107819,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107820,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107821,"Forno Microondas, Capacidade 20 Litros, Potência 620 W, Voltagem 220 V, Cor Branca, Marca Midea",,,,,,
2107822,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107824,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107827,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107829,"Forno Microondas, Capacidade 20 Litros, Potência 620 W, Voltagem 220 V, Cor Branca, Marca Midea",,,,,,
2107830,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107832,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107834,"Forno Microondas, Capacidade 20 Litros, Potência 620 W, Voltagem 220 V, Cor Branca, Marca Midea",,,,,,
2107835,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107844,"Forno Microondas, Capacidade 20 Litros, Potência 620 W, Voltagem 220 V, Cor Branca, Marca Midea",,,,,,
2302230,Suporte Branco Para Microondas - Brasforma,,,,,,
2302231,Suporte Branco Para Microondas - Brasforma,,,,,,
2302232,Suporte Branco Para Microondas - Brasforma,,,,,,
2302233,Suporte Branco Para Microondas - Brasforma,,,,,,
2302234,Suporte Branco Para Microondas - Brasforma,,,,,,
2302235,Suporte Branco Para Microondas - Brasforma,,,,,,
2302236,Suporte Branco Para Microondas - Brasforma,,,,,,
2302237,Suporte Branco Para Microondas - Brasforma,,,,,,
2302238,Suporte Branco Para Microondas - Brasforma,,,,,,
2302239,Suporte Branco Para Microondas - Brasforma,,,,,,
2302240,Suporte Branco Para Microondas - Brasforma,,,,,,
2302241,Suporte Branco Para Microondas - Brasforma,,,,,,
2302242,Suporte Branco Para Microondas - Brasforma,,,,,,
2302243,Suporte Branco Para Microondas - Brasforma,,,,,,
2302244,Suporte Branco Para Microondas - Brasforma,,,,,,
2302245,Suporte Branco Para Microondas - Brasforma,,,,,,
2302246,Suporte Branco Para Microondas - Brasforma,,,,,,
2302247,Suporte Branco Para Microondas - Brasforma,,,,,,
2302248,Suporte Branco Para Microondas - Brasforma,,,,,,
2302249,Suporte Branco Para Microondas - Brasforma,,,,,,
2302250,Suporte Branco Para Microondas - Brasforma,,,,,,
2302251,Suporte Branco Para Microondas - Brasforma,,,,,,
2302252,Suporte Branco Para Microondas - Brasforma,,,,,,
2302253,Suporte Branco Para Microondas - Brasforma,,,,,,
2302254,Suporte Branco Para Microondas - Brasforma,,,,,,
2302255,Suporte Branco Para Microondas - Brasforma,,,,,,
2302256,Suporte Branco Para Microondas - Brasforma,,,,,,
2302257,Suporte Branco Para Microondas - Brasforma,,,,,,
2302258,Suporte Branco Para Microondas - Brasforma,,,,,,
2302259,Suporte Branco Para Microondas - Brasforma,,,,,,
2302260,Suporte Branco Para Microondas - Brasforma,,,,,,
2302261,Suporte Branco Para Microondas - Brasforma,,,,,,
2302262,Suporte Branco Para Microondas - Brasforma,,,,,,
2302263,Suporte Branco Para Microondas - Brasforma,,,,,,
2302264,Suporte Branco Para Microondas - Brasforma,,,,,,
2302265,Suporte Branco Para Microondas - Brasforma,,,,,,
2302266,Suporte Branco Para Microondas - Brasforma,,,,,,
2302267,Suporte Branco Para Microondas - Brasforma,,,,,,
2302268,Suporte Branco Para Microondas - Brasforma,,,,,,
2302269,Suporte Branco Para Microondas - Brasforma,,,,,,
2302270,Suporte Tv Led Articulado - Brasforma,,,,,,
2302271,Suporte Tv Led Articulado - Brasforma,,,,,,
2302272,Suporte Tv Led Articulado - Brasforma,,,,,,
2302273,Suporte Tv Led Articulado - Brasforma,,,,,,
2302274,Suporte Tv Led Articulado - Brasforma,,,,,,
2302275,Suporte Tv Led Articulado - Brasforma,,,,,,
2302276,Suporte Tv Led Articulado - Brasforma,,,,,,
2302277,Suporte Tv Led Articulado - Brasforma,,,,,,
2302278,Suporte Tv Led Articulado - Brasforma,,,,,,
2302279,Suporte Tv Led Articulado - Brasforma,,,,,,
2302280,Suporte Tv Led Articulado - Brasforma,,,,,,
2302281,Suporte Tv Led Articulado - Brasforma,,,,,,
2302282,Suporte Tv Led Articulado - Brasforma,,,,,,
2302283,Suporte Tv Led Articulado - Brasforma,,,,,,
2302284,Suporte Tv Led Articulado - Brasforma,,,,,,
2302285,Suporte Tv Led Articulado - Brasforma,,,,,,
2302286,Suporte Tv Led Articulado - Brasforma,,,,,,
2302287,Suporte Tv Led Articulado - Brasforma,,,,,,
2302288,Suporte Tv Led Articulado - Brasforma,,,,,,
2302289,Suporte Tv Led Articulado - Brasforma,,,,,,
2302290,Suporte Tv Led Articulado - Brasforma,,,,,,
2302291,Suporte Tv Led Articulado - Brasforma,,,,,,
2302292,Suporte Tv Led Articulado - Brasforma,,,,,,
2302293,Suporte Tv Led Articulado - Brasforma,,,,,,
2302294,Suporte Tv Led Articulado - Brasforma,,,,,,
2302295,Suporte Tv Led Articulado - Brasforma,,,,,,
2302296,Suporte Tv Led Articulado - Brasforma,,,,,,
2302297,Suporte Tv Led Articulado - Brasforma,,,,,,
2302298,Suporte Tv Led Articulado - Brasforma,,,,,,
2302299,Suporte Tv Led Articulado - Brasforma,,,,,,
2302300,Suporte Tv Led Articulado - Brasforma,,,,,,
2302301,Suporte Tv Led Articulado - Brasforma,,,,,,
2302302,Suporte Tv Led Articulado - Brasforma,,,,,,
2302303,Suporte Tv Led Articulado - Brasforma,,,,,,
2302304,Suporte Tv Led Articulado - Brasforma,,,,,,
2302305,Suporte Tv Led Articulado - Brasforma,,,,,,
2302306,Suporte Tv Led Articulado - Brasforma,,,,,,
